,id,is_location_exact,room_type,bed_type,has_availability,binTempo,FAIXA_RATING,accommodates,price_per_accommodates,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,availability_30,availability_60,availability_90,availability_365,mean_availability,review_per_year,price
36,7207641,1,0,0,1,0,0,8,43.5,750.0,150.0,6,20.0,3,1125,5,96.0,0.97,0,0,0,153,38.0,22.0,348.0
37,5062445,1,1,1,1,0,0,1,45.0,200.0,50.0,1,0.0,1,1125,7,97.0,0.9,28,58,88,363,134.0,22.0,45.0
38,8925878,1,0,0,1,0,0,4,37.5,200.0,50.0,2,25.0,2,365,2,100.0,0.83,16,46,76,351,122.0,22.0,150.0
39,6389657,1,0,0,1,0,0,2,40.0,200.0,20.0,1,0.0,3,1125,11,98.0,1.98,12,38,40,201,72.0,22.0,80.0
40,4218733,1,0,0,1,1,0,4,27.5,100.0,40.0,2,15.0,2,1125,71,90.0,4.7,19,46,76,351,123.0,35.5,110.0
41,2715623,1,0,0,1,2,0,3,49.33,200.0,100.0,2,20.0,3,365,9,91.0,0.46,0,13,43,310,91.0,9.0,148.0
42,1392332,1,0,0,1,1,0,4,87.5,500.0,100.0,4,0.0,2,30,41,98.0,1.38,0,3,33,308,86.0,20.5,350.0
43,7308567,1,0,0,1,0,0,3,50.0,200.0,50.0,1,0.0,2,1125,18,98.0,3.35,8,34,64,339,111.0,22.0,150.0
44,6575380,1,1,0,1,0,0,5,30.0,200.0,50.0,1,0.0,1,1125,9,100.0,1.99,0,0,11,285,74.0,22.0,150.0
45,6004058,1,0,1,1,2,0,2,50.0,200.0,50.0,1,0.0,1,1125,20,92.0,2.29,28,58,87,87,65.0,20.0,100.0
46,9550869,1,0,0,1,0,0,10,34.9,200.0,200.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,30,60,90,354,133.0,22.0,349.0
47,8515408,1,0,0,1,0,0,2,55.0,200.0,50.0,1,0.0,2,1125,3,100.0,1.06,30,60,89,89,67.0,22.0,110.0
48,5383192,1,0,0,1,0,0,4,40.0,100.0,55.0,2,25.0,2,1125,1,100.0,0.16,0,0,20,295,78.0,22.0,160.0
49,1112092,1,0,0,1,1,0,4,32.5,140.0,75.0,2,25.0,3,1125,26,95.0,0.8,30,60,89,89,67.0,13.0,130.0
50,7772661,1,0,0,1,0,0,2,49.5,200.0,50.0,2,50.0,1,1125,2,100.0,2.0,25,51,81,142,74.0,22.0,99.0
51,9254900,0,0,0,1,0,0,2,50.0,200.0,40.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,0,15,29,29,18.0,22.0,100.0
52,7714294,1,0,1,1,0,0,3,45.67,200.0,20.0,2,20.0,2,1125,3,100.0,0.64,0,0,28,303,82.0,22.0,137.0
53,10310373,1,1,0,1,0,0,3,6.67,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,18,46,76,351,122.0,22.0,20.0
54,9368342,1,0,0,1,0,0,2,75.0,500.0,50.0,2,30.0,4,1125,0,94.53926206244087,2.078918834221247,0,0,0,212,53.0,22.0,150.0
55,6361863,1,0,0,1,2,0,2,72.5,100.0,30.0,2,10.0,2,1125,44,94.0,5.64,15,39,69,331,113.0,44.0,145.0
56,8105221,1,1,1,1,0,0,2,40.0,200.0,50.0,1,0.0,1,1125,10,100.0,2.5,30,60,90,364,136.0,22.0,80.0
57,3269390,1,0,0,1,2,0,2,47.5,200.0,60.0,1,0.0,3,1125,77,98.0,4.12,18,32,50,321,105.0,77.0,95.0
58,4566393,1,0,0,1,0,0,4,100.0,750.0,120.0,4,20.0,2,1125,0,94.53926206244087,2.078918834221247,30,60,90,365,136.0,22.0,400.0
59,9282409,1,1,0,1,0,0,2,42.5,200.0,50.0,1,0.0,2,1125,2,100.0,1.3,0,0,0,247,61.0,22.0,85.0
60,8095168,1,1,1,1,0,0,2,35.0,200.0,20.0,1,0.0,1,1125,1,100.0,0.25,0,0,0,103,25.0,22.0,70.0
61,2746782,1,0,0,1,2,0,2,45.0,150.0,25.0,1,0.0,2,14,109,97.0,5.24,18,45,45,103,52.0,109.0,90.0
62,6424982,1,1,0,1,2,0,2,40.0,200.0,50.0,2,15.0,1,6,52,92.0,7.06,29,59,89,345,130.0,52.0,80.0
63,762029,1,1,0,1,0,0,2,30.0,150.0,25.0,2,0.0,2,7,191,97.0,4.96,19,44,44,102,52.0,47.75,60.0
64,8988281,1,0,0,1,0,0,4,43.75,250.0,78.0,4,50.0,1,15,0,94.53926206244087,2.078918834221247,30,48,48,48,43.0,22.0,175.0
65,7077910,0,0,0,1,0,0,6,28.33,250.0,100.0,6,100.0,4,1125,9,91.0,1.82,23,25,25,27,25.0,22.0,170.0
66,3772674,1,0,0,1,2,0,2,42.5,200.0,50.0,2,20.0,3,1125,65,98.0,3.94,20,45,75,347,121.0,65.0,85.0
67,7021906,1,0,0,1,0,0,12,38.75,1.0,250.0,1,0.0,3,1125,5,96.0,1.38,3,26,46,175,62.0,22.0,465.0
68,7618605,1,0,0,1,0,0,2,87.5,250.0,50.0,1,0.0,1,1125,5,96.0,1.01,0,0,0,94,23.0,22.0,175.0
69,10234558,0,1,0,1,0,0,2,25.0,200.0,50.0,0,0.0,1,1125,0,94.53926206244087,2.078918834221247,20,50,80,355,126.0,22.0,50.0
70,7021702,1,1,0,1,0,0,2,30.0,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,166,41.0,22.0,60.0
71,7680439,1,1,2,1,0,0,2,29.5,200.0,12.0,1,0.0,1,1125,16,93.0,3.29,25,55,85,360,131.0,22.0,59.0
72,4258515,1,1,0,1,0,1,4,11.75,200.0,15.0,2,10.0,1,1125,23,77.0,3.07,30,60,89,89,67.0,22.0,47.0
73,1148517,1,0,0,1,1,0,4,36.25,100.0,45.0,4,30.0,2,14,45,97.0,1.44,29,59,88,88,66.0,22.5,145.0
74,2487892,1,1,1,1,2,0,2,35.0,200.0,50.0,1,0.0,1,1125,75,94.0,3.46,10,38,68,343,114.0,75.0,70.0
75,3038772,1,1,0,1,1,0,2,27.5,100.0,25.0,1,10.0,2,1125,86,94.0,4.43,15,43,73,348,119.0,43.0,55.0
76,699460,1,1,0,1,1,0,4,23.75,200.0,30.0,2,35.0,2,90,151,97.0,3.85,7,22,52,327,102.0,50.33,95.0
77,4085439,1,1,0,1,2,0,2,62.5,200.0,50.0,1,0.0,1,1125,6,92.0,0.38,26,49,79,345,124.0,6.0,125.0
78,8053990,1,1,0,1,0,0,2,32.5,200.0,45.0,1,0.0,1,26,16,94.0,3.75,21,49,79,354,125.0,22.0,65.0
79,7011773,1,1,2,1,0,0,1,25.0,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,55,13.0,22.0,25.0
80,2467550,1,0,0,1,0,0,4,10.0,500.0,50.0,2,10.0,5,1125,0,94.53926206244087,2.078918834221247,0,0,0,48,12.0,22.0,40.0
81,2686374,1,0,0,1,1,0,6,24.83,200.0,50.0,4,20.0,1,1125,165,95.0,7.84,27,49,79,354,127.0,82.5,149.0
82,1956274,1,0,0,1,2,0,2,62.5,250.0,75.0,0,0.0,3,1125,48,100.0,2.11,27,49,79,354,127.0,48.0,125.0
83,8537192,1,1,0,1,0,0,2,27.5,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,247,61.0,22.0,55.0
84,5919096,1,0,0,1,0,0,4,32.25,250.0,75.0,1,0.0,5,999,2,100.0,0.26,16,46,76,215,88.0,22.0,129.0
85,6516529,1,0,0,1,0,0,2,50.0,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,199,49.0,22.0,100.0
86,3294243,1,0,0,1,2,0,4,37.5,200.0,50.0,1,0.0,2,1125,27,93.0,1.48,0,3,33,258,73.0,27.0,150.0
