date,frequencia,price
2016-04-24,2538,131.382978723404
2016-04-25,2546,131.554202670856
2016-04-26,2551,131.956095648765
2016-04-27,2554,132.057948316366
2016-04-28,2558,132.446442533229
2016-04-29,2566,140.213172252533
2016-04-30,2559,140.081672528331
2016-05-01,2571,135.966549980552
2016-05-02,2566,135.720187061574
2016-05-03,2563,135.298478345689
2016-05-04,2556,134.868935837246
2016-05-05,2562,136.187353629977
2016-05-06,2587,143.608813297255
2016-05-07,2583,143.681765389082
2016-05-08,2587,135.282180131426
2016-05-09,2585,135.608123791103
2016-05-10,2585,135.408897485493
2016-05-11,2584,135.005417956656
2016-05-12,2577,137.051222351572
2016-05-13,2569,144.276372129233
2016-05-14,2576,144.201086956522
2016-05-15,2587,135.771163509857
2016-05-16,2593,135.931353644427
2016-05-17,2594,136.089437162683
2016-05-18,2593,136.101426918627
2016-05-19,2575,137.538252427184
2016-05-20,2583,144.831591173055
2016-05-21,2584,145.128095975232
2016-05-22,2585,138.156286266925
2016-05-23,2598,138.959199384142
2016-05-24,2595,138.08978805395
2016-05-25,2587,138.377657518361
2016-05-26,2563,140.047600468201
2016-05-27,2569,150.278318411833
2016-05-28,2577,150.2289483896
2016-05-29,2577,143.457508731083
2016-05-30,2583,143.233836624081
2016-05-31,2577,141.340706247575
2016-06-01,2577,143.739619712844
2016-06-02,2568,144.886682242991
2016-06-03,2562,151.240046838407
2016-06-04,2556,150.948748043818
2016-06-05,2564,144.334243369735
2016-06-06,2572,144.507387247278
2016-06-07,2577,144.401629802095
2016-06-08,2569,143.425457376411
2016-06-09,2542,144.041306058222
2016-06-10,2514,149.544948289578
2016-06-11,2514,149.708035003978
2016-06-12,2535,143.458382642998
2016-06-13,2555,144.231311154599
2016-06-14,2563,144.595005852517
2016-06-15,2563,144.57744830277
2016-06-16,2565,147.175438596491
2016-06-17,2567,153.338527463966
2016-06-18,2569,153.862592448423
2016-06-19,2585,147.688588007737
2016-06-20,2590,146.930501930502
2016-06-21,2601,147.318339100346
2016-06-22,2597,147.063534847901
2016-06-23,2589,147.556971803785
2016-06-24,2594,153.201619121049
2016-06-25,2598,153.247113163972
2016-06-26,2607,147.617568085923
2016-06-27,2611,147.715434699349
2016-06-28,2616,147.705657492355
2016-06-29,2614,147.623182861515
2016-06-30,2610,148.390421455939
2016-07-01,2350,157.48
2016-07-02,2359,157.080966511234
2016-07-03,2364,151.75296108291
2016-07-04,2371,151.402361872628
2016-07-05,2387,150.522832006703
2016-07-06,2390,150.200836820084
