room_type,beds,bed_type,bathrooms,bedrooms,accommodates,review_scores_rating,taxa_de_limpeza,host_is_superhost
Private room,1.0,Real Bed,1.0,1.0,2,96.0,15.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,89.0,45.0,f
Private room,1.0,Futon,1.0,1.0,1,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,92.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,94.0,30.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,95.0,35.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,99.0,85.0,f
Entire home/apt,5.0,Real Bed,2.5,3.0,10,98.0,125.0,t
Entire home/apt,3.0,Real Bed,3.0,3.0,6,93.0,131.0,f
Private room,1.0,Real Bed,1.5,1.0,2,98.0,20.0,t
Private room,1.0,Real Bed,1.0,1.0,2,99.0,NULL,t
Entire home/apt,2.0,Real Bed,1.0,2.0,4,71.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,95.0,45.0,f
Private room,1.0,Real Bed,1.5,1.0,2,97.0,7.0,f
Private room,1.0,Real Bed,1.0,1.0,2,97.0,15.0,f
Private room,1.0,Real Bed,1.5,1.0,2,90.0,8.0,f
Private room,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,6.0,Real Bed,1.0,2.0,8,95.0,50.0,f
Private room,1.0,Real Bed,1.0,1.0,2,96.0,5.0,t
Private room,1.0,Real Bed,2.0,1.0,1,80.0,15.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,4,NULL,60.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,90.0,50.0,f
Private room,1.0,Pull-out Sofa,1.0,1.0,1,97.0,20.0,f
Private room,1.0,Futon,1.0,1.0,2,100.0,NULL,f
Entire home/apt,4.0,Real Bed,2.5,4.0,8,NULL,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,99.0,50.0,t
Entire home/apt,4.0,Real Bed,2.0,2.0,8,NULL,85.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,97.0,NULL,f
Entire home/apt,3.0,Real Bed,2.0,3.0,10,91.0,100.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,97.0,55.0,t
Entire home/apt,1.0,Real Bed,1.0,0.0,2,98.0,30.0,t
Private room,2.0,Real Bed,1.5,1.0,4,100.0,15.0,f
Entire home/apt,3.0,Real Bed,1.0,1.0,3,95.0,55.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,92.0,30.0,f
Entire home/apt,3.0,Real Bed,1.0,1.0,4,97.0,35.0,t
Entire home/apt,3.0,Real Bed,1.0,2.0,6,96.0,80.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,NULL,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,100.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Private room,1.0,Real Bed,1.0,1.0,1,89.0,25.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,97.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,95.0,25.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,3,100.0,20.0,f
Private room,1.0,Real Bed,1.0,1.0,2,98.0,NULL,t
Entire home/apt,1.0,Pull-out Sofa,1.0,0.0,2,95.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,2.0,3,NULL,NULL,t
Private room,1.0,Real Bed,1.0,1.0,2,85.0,NULL,f
Entire home/apt,4.0,Real Bed,3.5,4.0,8,100.0,200.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,4,99.0,40.0,t
Private room,1.0,Real Bed,1.0,1.0,2,99.0,NULL,t
Entire home/apt,5.0,Real Bed,2.0,4.0,12,84.0,200.0,f
Entire home/apt,3.0,Real Bed,1.5,3.0,6,100.0,185.0,f
Private room,1.0,Real Bed,1.0,1.0,2,95.0,20.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,97.0,NULL,t
Private room,2.0,Real Bed,1.0,1.0,3,97.0,50.0,f
Private room,2.0,Real Bed,1.0,1.0,3,100.0,10.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,NULL,20.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,97.0,30.0,f
Private room,2.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,3.0,Real Bed,1.0,1.0,5,98.0,60.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,100.0,50.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,8,95.0,100.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,6,96.0,NULL,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,96.0,NULL,t
Entire home/apt,2.0,Real Bed,3.0,2.0,5,NULL,50.0,f
Private room,1.0,Real Bed,1.0,1.0,2,100.0,NULL,t
Private room,1.0,Real Bed,1.0,1.0,2,96.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,92.0,20.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,97.0,80.0,t
Private room,1.0,Real Bed,1.0,1.0,2,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,4.0,Real Bed,2.5,3.0,6,98.0,100.0,t
Shared room,1.0,Pull-out Sofa,1.0,1.0,2,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,90.0,55.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,91.0,60.0,f
Entire home/apt,4.0,Real Bed,1.0,1.0,5,97.0,10.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,4,100.0,25.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,96.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,1,90.0,15.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,60.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,88.0,25.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,NULL,NULL,f
Entire home/apt,3.0,Real Bed,2.0,3.0,6,93.0,100.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,94.0,50.0,t
Entire home/apt,1.0,Real Bed,1.5,1.0,2,96.0,60.0,t
Entire home/apt,5.0,Real Bed,2.0,2.0,10,92.0,100.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,100.0,f
Entire home/apt,2.0,Real Bed,1.5,1.0,4,100.0,90.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,98.0,40.0,f
Entire home/apt,1.0,Real Bed,2.0,2.0,4,100.0,75.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,4,97.0,75.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,5,100.0,65.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,82.0,35.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,89.0,NULL,f
Private room,1.0,Real Bed,1.5,1.0,2,97.0,30.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,4,NULL,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,92.0,30.0,f
Entire home/apt,5.0,Real Bed,1.5,3.0,8,90.0,264.0,f
Private room,1.0,Real Bed,1.5,1.0,2,98.0,50.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,90.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,97.0,50.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,96.0,60.0,f
Private room,1.0,Real Bed,1.0,1.0,2,97.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,NULL,f
Entire home/apt,3.0,Real Bed,3.5,3.0,8,100.0,199.0,t
Entire home/apt,2.0,Real Bed,2.0,2.0,4,100.0,35.0,f
Entire home/apt,2.0,Real Bed,1.5,2.0,4,98.0,55.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,100.0,NULL,f
Entire home/apt,4.0,Real Bed,2.0,3.0,6,96.0,150.0,t
Private room,1.0,Real Bed,1.0,1.0,2,100.0,10.0,f
Private room,1.0,Real Bed,1.0,1.0,1,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,95.0,100.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,60.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,97.0,55.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,93.0,100.0,f
Entire home/apt,3.0,Real Bed,4.0,3.0,7,100.0,175.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,100.0,45.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,100.0,20.0,f
Private room,1.0,Real Bed,1.0,1.0,2,80.0,25.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,95.0,60.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,98.0,60.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,50.0,f
Entire home/apt,2.0,Real Bed,2.5,2.0,5,NULL,100.0,f
Private room,1.0,Real Bed,1.0,1.0,2,97.0,20.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,99.0,40.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,2,93.0,25.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,6,95.0,110.0,f
Entire home/apt,4.0,Real Bed,3.5,4.0,6,100.0,125.0,f
Private room,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,3.0,Real Bed,1.5,3.0,6,100.0,75.0,f
Entire home/apt,5.0,Real Bed,3.0,4.0,8,99.0,200.0,t
Entire home/apt,4.0,Real Bed,2.0,3.0,8,96.0,155.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,98.0,25.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,4,91.0,111.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,100.0,30.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,94.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,87.0,40.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,92.0,72.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,96.0,60.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,96.0,90.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,92.0,60.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,95.0,60.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,99.0,NULL,t
Entire home/apt,3.0,Real Bed,1.5,3.0,5,100.0,95.0,t
Entire home/apt,3.0,Real Bed,2.0,3.0,5,NULL,100.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,6,96.0,105.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,95.0,40.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,97.0,NULL,f
Entire home/apt,2.0,Real Bed,2.0,3.0,6,100.0,NULL,f
Private room,1.0,Real Bed,2.0,1.0,2,100.0,50.0,t
Private room,1.0,Real Bed,1.0,1.0,2,87.0,15.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,99.0,65.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,4,97.0,50.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,96.0,40.0,f
Entire home/apt,4.0,Real Bed,2.0,4.0,8,84.0,160.0,f
Entire home/apt,3.0,Real Bed,1.5,2.0,6,96.0,95.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,4,97.0,50.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,4,96.0,30.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,2,96.0,50.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,100.0,100.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,4,100.0,35.0,f
Private room,1.0,Real Bed,1.0,1.0,2,97.0,13.0,t
Entire home/apt,3.0,Real Bed,1.0,2.0,6,97.0,30.0,t
Entire home/apt,3.0,Real Bed,1.0,2.0,6,96.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,93.0,40.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,80.0,65.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,92.0,10.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,100.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,95.0,90.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,93.0,50.0,f
Shared room,1.0,Airbed,1.0,1.0,2,100.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,97.0,40.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,94.0,40.0,f
Private room,1.0,Real Bed,1.0,1.0,1,NULL,15.0,f
Entire home/apt,3.0,Real Bed,1.0,3.0,6,NULL,NULL,f
Private room,2.0,Real Bed,1.0,1.0,2,95.0,35.0,f
Private room,1.0,Real Bed,1.5,1.0,2,100.0,20.0,f
Shared room,1.0,Real Bed,1.0,1.0,1,NULL,35.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,94.0,40.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,4,96.0,100.0,t
Entire home/apt,3.0,Real Bed,3.0,3.0,6,100.0,275.0,f
Entire home/apt,4.0,Real Bed,1.5,3.0,6,100.0,75.0,f
Private room,1.0,Real Bed,2.0,1.0,2,97.0,25.0,t
Entire home/apt,1.0,Futon,1.0,1.0,2,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,92.0,50.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,5,99.0,NULL,t
Private room,1.0,Real Bed,1.0,1.0,2,100.0,NULL,t
Private room,1.0,Futon,1.0,1.0,2,93.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,95.0,65.0,f
Private room,1.0,Real Bed,1.0,1.0,2,99.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,50.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,87.0,60.0,f
Entire home/apt,6.0,Real Bed,2.0,5.0,12,92.0,NULL,f
Shared room,1.0,Real Bed,1.0,1.0,1,93.0,35.0,f
Shared room,1.0,Real Bed,1.0,1.0,1,100.0,28.0,f
Shared room,1.0,Real Bed,1.0,1.0,1,94.0,35.0,f
Shared room,1.0,Real Bed,1.0,1.0,1,80.0,35.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,97.0,NULL,t
Entire home/apt,4.0,Real Bed,1.0,2.0,6,97.0,NULL,f
Entire home/apt,4.0,Real Bed,1.0,2.0,6,93.0,90.0,f
Shared room,1.0,Real Bed,1.0,1.0,1,90.0,35.0,f
Shared room,1.0,Real Bed,1.0,1.0,1,NULL,35.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,96.0,NULL,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,96.0,70.0,t
Private room,1.0,Real Bed,1.0,1.0,2,96.0,NULL,f
Entire home/apt,5.0,Real Bed,3.0,4.0,7,NULL,90.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,98.0,20.0,t
Entire home/apt,3.0,Real Bed,1.0,2.0,6,90.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,80.0,NULL,f
Private room,3.0,Real Bed,1.0,1.0,3,95.0,10.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,5,97.0,75.0,f
Shared room,1.0,Real Bed,1.0,1.0,1,93.0,35.0,f
Private room,2.0,Real Bed,2.0,1.0,2,93.0,15.0,f
Private room,1.0,Real Bed,1.0,1.0,2,73.0,30.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,5,80.0,40.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,3,91.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,93.0,15.0,f
Entire home/apt,5.0,Real Bed,3.0,4.0,8,100.0,175.0,f
Shared room,1.0,Real Bed,1.0,1.0,1,93.0,35.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,92.0,25.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,95.0,75.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,94.0,50.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,NULL,155.0,f
Private room,1.0,Airbed,1.0,1.0,3,NULL,NULL,f
Private room,1.0,Real Bed,1.5,1.0,2,97.0,NULL,t
Entire home/apt,4.0,Real Bed,1.0,2.0,6,90.0,209.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,97.0,NULL,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,92.0,20.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,97.0,75.0,f
Entire home/apt,4.0,Real Bed,1.0,3.0,7,88.0,65.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,90.0,120.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,5,100.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,80.0,75.0,t
Shared room,1.0,Real Bed,1.0,1.0,1,84.0,35.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,92.0,65.0,f
